Speed (km/h),Acceleration (m/sｲ),Braking intensity (%),Cornering speed (km/h),Driver Behavior rating
61.08,5.45,72.15,21.02,5.00
89.68,10.62,70.18,28.43,10.00
76.68,3.19,65.64,19.08,1.00
88.73,6.56,57.30,18.89,6.00
106.04,3.90,54.15,35.55,3.00
84.40,6.26,70.61,25.41,5.00
74.46,2.57,59.19,18.33,1.00
111.06,3.88,80.03,32.05,5.00
73.53,7.44,44.64,22.49,5.00
119.66,8.82,77.83,30.47,10.00
111.21,7.56,74.05,25.36,9.00
49.41,1.37,85.21,11.69,1.00
93.95,5.82,83.31,20.08,9.00
115.97,7.74,42.56,19.48,9.00
98.92,5.01,70.50,18.62,5.00
75.84,4.53,88.31,30.33,1.00
92.54,1.51,59.30,19.24,1.00
71.53,3.05,52.44,29.15,4.00
70.39,5.81,66.89,19.64,10.00
98.57,8.15,42.74,31.72,10.00
70.44,4.06,67.41,34.40,6.00
83.57,5.34,81.38,32.43,4.00
126.60,7.19,76.58,21.76,9.00
115.25,4.02,56.94,17.68,4.00
91.25,4.44,61.34,35.07,7.00
90.64,5.25,45.31,27.97,10.00
98.27,0.48,97.64,25.27,2.00
103.90,6.58,57.33,32.76,8.00
111.15,7.53,76.66,29.60,4.00
94.24,2.21,59.60,20.21,6.00
74.18,2.35,85.35,22.00,2.00
94.95,3.82,80.95,21.43,7.00
97.88,8.11,65.30,26.01,7.00
110.52,7.93,70.42,35.19,5.00
79.24,4.81,89.46,30.90,2.00
98.20,5.98,87.53,26.96,7.00
112.00,5.34,60.52,23.50,5.00
97.51,7.17,41.18,23.02,7.00
63.41,1.55,73.88,17.00,2.00
90.96,5.35,77.84,27.17,5.00
126.15,9.02,34.55,21.05,10.00
75.55,5.30,65.97,26.18,4.00
106.67,4.14,92.56,33.71,5.00
107.93,9.73,76.61,28.13,8.00
85.15,5.34,70.07,40.42,9.00
76.94,6.72,46.43,27.46,4.00
57.67,4.82,94.21,24.01,2.00
67.26,5.47,82.12,21.36,7.00
100.79,6.13,70.54,36.43,4.00
105.75,9.65,59.32,20.55,9.00
100.45,6.10,52.73,33.46,10.00
86.52,7.25,74.36,31.33,9.00
92.54,7.44,51.83,34.18,9.00
67.65,9.35,63.59,23.20,10.00
75.49,4.53,82.32,26.95,4.00
127.60,7.24,47.32,19.36,8.00
96.58,6.84,74.11,25.66,7.00
112.40,6.21,81.22,37.72,6.00
55.72,5.47,83.00,22.80,2.00
78.30,4.96,58.27,19.90,7.00
55.51,-0.18,105.70,15.74,1.00
52.16,6.11,88.49,31.34,7.00
46.76,5.00,79.08,34.41,4.00
76.58,1.86,88.06,24.29,1.00
55.26,2.54,100.32,22.17,3.00
83.44,3.50,71.75,26.40,1.00
68.57,5.30,69.08,31.85,8.00
117.99,7.78,63.59,29.87,7.00
83.07,5.30,81.37,31.34,7.00
62.46,3.69,69.33,26.02,3.00
109.91,7.75,56.08,30.59,6.00
83.13,5.89,69.80,29.74,1.00
59.77,6.19,56.80,23.28,2.00
100.23,6.72,50.43,35.34,9.00
59.87,5.79,75.93,34.36,3.00
74.14,5.99,61.17,22.14,2.00
102.55,5.73,38.46,28.26,10.00
66.06,4.49,54.88,25.74,6.00
69.93,7.43,51.27,24.60,9.00
61.77,1.42,87.76,16.46,2.00
65.04,0.85,72.23,17.22,2.00
73.88,7.22,56.56,28.79,9.00
74.51,4.24,49.67,32.96,8.00
104.19,9.29,65.37,28.15,10.00
72.98,2.11,55.56,18.48,1.00
78.37,6.15,64.36,15.05,4.00
122.75,8.64,75.07,35.93,9.00
122.86,5.99,68.78,24.24,7.00
96.93,5.00,79.28,23.92,5.00
83.76,4.97,81.85,35.85,4.00
